ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ
2020,03/12/2020,02:00 AM,4,สงขลา,6.958294832,100.4742569,1,0,1,0,1
2020,07/12/2020,02:30 AM,4,สงขลา,6.581033481,100.4118982,1,0,1,0,1
2020,07/12/2020,09:00 AM,4,สงขลา,6.68481955,100.4389751,1,0,1,0,1
2020,07/12/2020,09:30 PM,4,สงขลา,6.785946812,100.4530191,1,0,1,0,1
2020,18/12/2020,12:30 AM,4,สงขลา,6.842272154,100.4685438,1,0,1,0,1
2020,21/12/2020,11:00 AM,4,สงขลา,6.816074463,100.4574394,2,0,2,0,1
2020,21/12/2020,04:00 PM,4,สงขลา,6.655405729,100.4301694,2,1,0,1,1
2020,26/12/2020,04:00 PM,4,สงขลา,6.531987628,100.4172948,1,0,0,1,1
2020,27/12/2020,09:30 AM,4,สงขลา,6.915541874,100.4689756,4,1,3,0,1
2020,31/12/2020,12:30 PM,4,สงขลา,7.184524299,100.2550077,1,0,1,0,1
2020,31/12/2020,01:00 PM,4,สงขลา,7.185359899,100.2544632,1,0,1,0,1
